Country Name,Country Code,Series Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,AFG,GDP,17152234637,14497243872,14259995441,19955929052,18799444490,18053222687,18753456498,18116572395,19134221645,20497128556,20146416758,19907329778,17805098206,15856668556,12416152732,10109297048,9747886187,6971758282,6203256539,5224896719,4520946819,3825701439,2813571754,3521418060
Afghanistan,AFG,FDI,..,..,0.144466947,0.064993957,0.124495985,0.661572218,0.274796792,0.516606085,0.884000463,0.209664795,0.239801184,0.285440894,0.29302518,1.20311799,0.451889146,0.455360445,1.935701714,3.413772973,4.368673104,3.577104201,1.278493252,1.30694987,0.024168568,0.004827601
Afghanistan,AFG,GDPgr,2.266943736,-6.240171992,-20.73883937,-2.351100672,3.911603416,1.189228129,2.647003203,2.260314203,1.451314661,2.724543362,5.600744659,12.75228709,0.426354777,14.36244147,21.39052839,3.92498382,13.82631955,5.357403247,11.22971483,1.414117993,8.832277803,28.60000117,-9.43197407,..
Afghanistan,AFG,Oilrents,..,..,0.017869506,0.005177619,0.01277729,0.018854417,0.013427081,0.00944508,0.0136358,0.040743866,0.067290162,0.109823884,0.006602395,0.005149456,0.005241738,0.015736314,0.014446464,0.021407037,0.02584762,0.02560516,0.025632803,0.030789276,..,..
Afghanistan,AFG,Taxrevenue,..,..,..,..,..,..,9.898450897,9.502652783,7.585382331,6.882102943,7.12277329,7.707800603,8.916793996,9.169751919,8.481758361,6.08796493,5.283456604,6.967597575,..,..,..,..,..,..
Afghanistan,AFG,ControlCorruption,-1.154931784,-1.183684349,-1.152265787,-1.493360877,-1.419310093,-1.502875924,-1.530074596,-1.540227771,-1.354713082,-1.364934087,-1.445960641,-1.430372834,-1.600470781,-1.645391107,-1.552298784,-1.672095537,-1.61325109,-1.446292281,-1.447252393,-1.35064733,-1.344179749,-1.251137018,..,-1.271724224
Afghanistan,AFG,CPIA,1,1,..,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.5,..,..,..,..,..,..
Albania,ALB,GDP,23547180412,19017244117,18032009220,15241455556,15585111614,15379508330,13258268436,11988668785,11470171827,13296322588,12796985886,12246499748,12973755875,12086545641,12335540656,13258506375,11116937870,9150528132,8256658250,7406645793,5801712040,4515003117,4059064033,3584570165
Albania,ALB,FDI,6.883977284,7.579341584,6.757907216,7.018653013,7.70621465,7.831091461,7.714113363,8.711472254,8.62740637,8.648466357,9.80035898,7.495975133,8.083292858,9.01744998,10.90682015,9.406653201,5.867403518,3.553219138,3.178998145,4.607822786,3.068687302,2.990031159,5.107088686,3.989320711
Albania,ALB,GDPgr,3.936616892,4.826696119,8.969576191,-3.313756369,2.062577902,3.671419281,3.283175933,3.908935514,2.227704075,2.240226954,1.707228318,0.98412988,2.463516839,2.973154427,2.690751524,6.907062307,6.500092612,6.01898124,5.130821931,5.266261739,5.33326426,4.628395874,8.86373066,7.462858718
Albania,ALB,Oilrents,..,..,1.042183692,0.582225701,1.424371096,1.469833819,1.126142276,0.884410718,1.452606185,3.122076157,3.033924075,2.866351043,2.454889085,1.309543172,0.923660116,1.604654693,1.249434028,1.192449217,1.020953746,0.793153163,0.692722775,0.687177627,0.699922138,1.071500565
Albania,ALB,Taxrevenue,17.75986874,18.06077868,18.0962082,16.8955446,17.93099399,18.27695273,18.54766318,17.40320252,18.38129215,18.20809547,16.47649627,17.5879266,17.90672307,..,..,..,..,..,..,17.42670417,16.63234264,15.8747643,..,..
Albania,ALB,ControlCorruption,-0.332218528,-0.408189446,-0.577179968,-0.57353878,-0.564274073,-0.546018898,-0.48138684,-0.472373724,-0.545140803,-0.586571813,-0.751372695,-0.778729439,-0.701794147,-0.531616509,-0.54527092,-0.60521239,-0.706940055,-0.790545285,-0.813263893,-0.723731816,-0.853786588,-0.845340908,..,-0.855563641
