...1,A_YEAR,C_COW_ALPHA,D_INTERVIEW,Q260,X003R,Q275R,Q112,Q113,Q114,Q115,Q116,Q117,Country Code,Country Name,GDP,FDI,GDPgr,Oilrents,Taxrevenue,ControlCorruption,CPIA
1,2020,CAN,124070003,2,6,3,7,2,2,1,1,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
2,2020,CAN,124070004,1,6,3,10,2,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
3,2020,CAN,124070005,2,3,2,7,1,1,1,1,1,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
4,2020,CAN,124070006,1,4,3,4,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
5,2020,CAN,124070008,1,2,3,6,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
6,2020,CAN,124070009,1,3,2,3,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
7,2020,CAN,124070010,1,3,2,9,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
8,2020,CAN,124070011,2,2,3,5,2,2,2,2,1,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
9,2020,CAN,124070012,1,6,3,8,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
10,2020,CAN,124070013,1,2,3,5,3,4,3,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
11,2020,CAN,124070014,2,2,3,5,2,3,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
12,2020,CAN,124070015,1,2,3,4,2,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
13,2020,CAN,124070016,1,6,1,4,2,2,2,1,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
14,2020,CAN,124070017,2,4,3,8,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
15,2020,CAN,124070018,2,1,3,6,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
16,2020,CAN,124070019,1,2,1,7,3,3,3,3,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
17,2020,CAN,124070020,2,6,3,6,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
18,2020,CAN,124070021,2,4,3,8,2,1,2,3,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
19,2020,CAN,124070022,2,4,2,8,3,3,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
20,2020,CAN,124070023,2,3,3,8,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
21,2020,CAN,124070024,1,2,3,7,3,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
