museum,longitude,latitude
Worcester Art Museum,-71.802,42.2731
San Diego Museum of Art,-117.15043,32.732158
"Museum of Fine Arts, Houston",-95.390539,29.725605
Woodmere Art Museum,-75.2197,40.0831
Hispanic Society of America,-73.94643,40.83327
Walters Art Museum,-76.616499,39.296425
Taft Museum of Art,-84.503333,39.1025
Dahesh Museum of Art,-74.00480556,40.725
Amon Carter Museum of American Art,-97.368447,32.747867
Corcoran Gallery of Art,-77.039879,38.895851
Fogg Museum,-71.114358,42.37409
Salvador Dalí Museum,-82.6315,27.766
Wadsworth Atheneum Museum of Art,-72.673086,41.763711
Chrysler Museum of Art,-76.2924,36.857
Harvard Art Museums,-71.11472222,42.37416667
Kimbell Art Museum,-97.364921,32.748569
The Phillips Collection,-77.046805555,38.911388888
Solomon R. Guggenheim Museum,-73.958888888,40.783055555
Munson,-75.241389,43.096944
Vanderbilt Museum of Art,-86.801389,36.145833
Dallas Museum of Art,-96.800893,32.78756
Museum of Fine Arts Boston,-71.094166666,42.339444444
National Gallery of Art,-77.02,38.891388888
Detroit Institute of Arts,-83.064722222,42.359444444
Isabella Stewart Gardner Museum,-71.099121,42.33818
Reading Public Museum,-75.951347,40.327354
Brandywine Museum of Art,-75.593,39.8699
Mildred Lane Kemper Art Museum,-90.3027,38.6472
Crystal Bridges Museum of American Art,-94.202653,36.381854
Whitney Museum of American Art,-74.0089,40.7396
University of Michigan Museum of Art,-83.739735,42.275399
Metropolitan Museum of Art,-73.963333333,40.779444444
Brooklyn Museum,-73.963631,40.671206
Meadows Museum,-96.784382,32.838419
Portland Art Museum,-122.683357,45.51615
Norton Simon Museum,-118.159162,34.146225
Barnes Foundation,-75.172808,39.960643
El Paso Museum of Art,-106.490109,31.758506
Columbus Museum of Art,-82.98777,39.964384
Cincinnati Art Museum,-84.496944444,39.113888888
Denver Art Museum,-104.989345,39.737188
San Antonio Museum of Art,-98.482089,29.437568
High Museum of Art,-84.385566,33.790047
Clark Art Institute,-73.2136,42.7078
Honolulu Museum of Art,-157.848708,21.303898
Gilcrease Museum,-96.0214,36.1747
The Broad,-118.251,34.0544
New Orleans Museum of Art,-90.0934389,29.9864799
National Museum of Women in the Arts,-77.029315,38.900051
Norton Museum of Art,-80.053355,26.700651
Allentown Art Museum,-75.468,40.6043
Museum of Art,-111.64805556,40.25083333
Baltimore Museum of Art,-76.6195034,39.3259955
Pennsylvania Academy of the Fine Arts,-75.163217,39.955683
National Museum of Asian Art,-77.027382257,38.8881002
Milwaukee Art Museum,-87.897058,43.040073
Seattle Art Museum,-122.338133,47.607309
Muskegon Museum of Art,-86.250991,43.234348
"Museum of Fine Arts, St. Petersburg, Florida, USA",-82.63221,27.77497
Hirshhorn Museum and Sculpture Garden,-77.022968,38.888161
Indianapolis Museum of Art,-86.185655,39.826019
National Portrait Gallery,-77.023055555,38.897777777
Carnegie Museum of Art,-79.949,40.4437
Virginia Museum of Fine Arts,-77.474706,37.556422
Cleveland Museum of Art,-81.611666666,41.508888888
John and Mable Ringling Museum of Art,-82.559801111,27.381467222
Peabody Essex Museum,-70.8925,42.522222
Frye Art Museum,-122.324,47.6071
Patrick and Beatrice Haggerty Museum of Art,-87.92778,43.036921
Oakland Museum of California,-122.263611,37.798641
Huntington Museum of Art,-82.4344,38.393
Busch–Reisinger Museum,-71.114567,42.375109
Allen Memorial Art Museum,-82.2168,41.2937
Grohmann Museum,-87.907944,43.043806
Raclin Murphy Museum of Art,-86.2351,41.6938
Blanton Museum of Art,-97.737684,30.280811
Crocker Art Museum,-121.505,38.576944
Cantor Arts Center at Stanford University,-122.170844,37.432982
University of Arizona Museum of Art,-110.955793,32.235598
Lyman Allyn Art Museum,-72.1072,41.3737
Phoenix Art Museum,-112.072655,33.466749
The Nelson-Atkins Museum of Art,-94.580960249,39.044969557
Berkeley Art Museum and Pacific Film Archive,-122.26634,37.870804
Fine Arts Museums of San Francisco,-122.468694444,37.7715
Joslyn Art Museum,-95.946022,41.260254
Los Angeles County Museum of Art,-118.359166666,34.063333333
Arthur M. Sackler Gallery,-77.0265,38.888
Addison Gallery of American Art,-71.1333,42.6486
Museum of the City of New York,-73.95188,40.79248
Bob Jones University Museum and Gallery,-82.36202,34.87603
Yale University Art Gallery,-72.930958,41.30839
Birmingham Museum of Art,-86.810069,33.52222
New Britain Museum of American Art,-72.791603,41.664317
Legion of Honor,-122.500842,37.784466
San Francisco Museum of Modern Art,-122.401051,37.785718
Menil Collection,-95.39851,29.73734
"Museum of Contemporary Art, Chicago",-87.6209882,41.8972114
Rose Art Museum,-71.2626,42.3656
Frances Lehman Loeb Art Center,-73.897373447,41.686001891
Speed Art Museum,-85.760916666,38.217861111
University of Iowa Stanley Museum of Art,-91.5402,41.6653
Cummer Museum of Art and Gardens,-81.6769,30.3149
Dayton Art Institute,-84.201111,39.765833
The Hyde Collection,-73.634444,43.310278
The Newark Museum of Art,-74.1718,40.7427
Smart Museum of Art,-87.600199,41.793599
Tacoma Art Museum,-122.437,47.2475
New Mexico Museum of Art,-105.939,35.6881
Wolfsonian-FIU,-80.1326,25.7808
National Academy of Design,-73.98675,40.737694444
USC Fisher Museum of Art,-118.287325,34.01863
Freer Gallery of Art,-77.0275,38.888333333
Ackland Art Museum,-79.0544,35.9124
Hood Museum of Art,-72.28805556,43.70222222
Delaware Art Museum,-75.564696,39.765365
David Owsley Museum of Art Ball State University,-85.4102,40.1999
Appleton Museum of Art,-82.0765,29.2053
Saint Louis Art Museum,-90.294491,38.639306
Hawaii State Art Museum,-157.858,21.3086
Georgia O'Keeffe Museum,-105.941325,35.689156111
Lowe Art Museum,-80.275657,25.719425
Godwin-Ternbach Museum,-73.817274,40.73634
Jule Collins Smith Museum of Fine Art,-85.4838,32.5877
Mint Museum,-80.84831,35.22442
Dishman Art Museum,-94.07575,30.04622222
McMullen Museum of Art,-71.1696,42.3352
Mabee-Gerrer Museum of Art,-96.9537,35.3668
Heckscher Museum of Art,-73.4218,40.8749
Mobile Museum of Art,-88.155278,30.703611
Santa Barbara Museum of Art,-119.703,34.4228
Tucson Museum of Art,-110.9754,32.2234
Cornell Fine Arts Museum,-81.3486,28.5923
Currier Museum of Art,-71.45583333,42.99777778
Portland Museum of Art,-70.262200000000007,43.6536
James A. Michener Art Museum,-75.1265,40.3085
Hammer Museum,-118.443662,34.059468
