painting_id,title,museum,artist,year,depicts
Q100271143,Portrait of a white haired lady,Worcester Art Museum,Edouard Elias Kaufer,1922,woman
Q100290593,A Beauty in a Garden Setting,San Diego Museum of Art,Muhammad Ali,1625,NA
Q100290693,A gardener leaning on his shovel,San Diego Museum of Art,Aqa Reza Heravi,1600,gardener
Q100290699,A Gathering of Princes,San Diego Museum of Art,Bhavanidas,1710,NA
Q100290720,A Green-winged Macaw,San Diego Museum of Art,Sheikh Zainuddin,1780,Red-and-green Macaw
Q100291310,The presentation of a new bride,San Diego Museum of Art,Mir Kalan Khan,1760,NA
Q100291331,The reluctant Radha,San Diego Museum of Art,Bhagvan,1800,Radha
Q100291339,The Sakhi Speaks to Radha on Krishna's Behalf,San Diego Museum of Art,Purkhu of Kangra,1820,"Krishna, Radha"
Q100291359,The story of Krishna enacted before Maharana Jagat Singh II,San Diego Museum of Art,Jai Ram,1736,"Krishna, Jagat Singh II"
Q100291384,The Virgin and Child,San Diego Museum of Art,Basawan,1590,"Mary, Christ Child"
Q100291529,The gods hatch a plan,San Diego Museum of Art,Purkhu of Kangra,1825,NA
Q100291552,"To Catch a Glimpse of Him, Even from a Distance",San Diego Museum of Art,Purkhu of Kangra,1790,NA
Q100291573,Two cats holding a large prawn,San Diego Museum of Art,Jamini Roy,NA,NA
Q100291760,While the Clouds Gather,San Diego Museum of Art,Sajnu of Mandi,1825,NA
Q100291772,Yusuf and Zulaikha meet in a garden,San Diego Museum of Art,Muhammad Nadir Samarqandi,1636,NA
Q100291830,"Manasa, the Snake Goddess",San Diego Museum of Art,Jamini Roy,1920,Manasa
Q100291867,A mountain goat,San Diego Museum of Art,Muin Musavvir,1691,NA
Q100291896,A nayika watches the moonrise and waits for her lover,San Diego Museum of Art,Sajnu of Mandi,1820,NA
Q100291908,A pensive nayika with her sakhi,San Diego Museum of Art,Sajnu of Mandi,1820,NA
Q100291911,A prince and a princess conversing in the royal gardens,San Diego Museum of Art,Muhammad Faqirullah Khan,1770,NA
Q100292102,Boating,San Diego Museum of Art,Jamini Roy,1920,"fish, woman, boating"
Q100320666,Portrait of a Boy,"Museum of Fine Arts, Houston",Edouard Elias Kaufer,1900,boy
Q100442176,Portrait study of Katharine Minehart as a bride (Mrs. Robert Courtleigh),Woodmere Art Museum,Violet Oakley,1942,Katharine Minehart
Q100443335,Portrait of Katharine (Kitty) Minehart,Woodmere Art Museum,Edith Emerson,1942,Katharine Minehart
Q100606507,Aragón,Hispanic Society of America,Joaquín Sorolla,1914,jota
Q100610532,"Castilla, the feast of Bread",Hispanic Society of America,Joaquín Sorolla,1913,NA
Q100621736,"Extremadura, the Market",Hispanic Society of America,Joaquín Sorolla,1917,NA
Q100651006,"Andalucía, El Encierro",Hispanic Society of America,Joaquín Sorolla,1914,NA
Q100728375,The Betrothal of Raphael and the Niece of Cardinal Bibbiena,Walters Art Museum,Jean-Auguste-Dominique Ingres,1813,Raphael
Q100729000,Mademoiselle Jeanne-Suzanne-Catherine Gonin,Taft Museum of Art,Jean-Auguste-Dominique Ingres,1821,woman
Q101017228,Portrait of Esther Fortune Warren and Her Daughter Hester,San Diego Museum of Art,Thomas Sully,1811,"Hester Warren, Esther Fortune"
Q101030655,Trompe l'oeil of a Painter,Dahesh Museum of Art,Louis Abel-Truchet,NA,NA
Q101030657,"The Caravan, Egypt",Dahesh Museum of Art,François Pierre Barry,1863,NA
Q101030659,Landscape with Animals,Dahesh Museum of Art,Jean-Achille Benouville,1842,NA
Q101030660,Portrait of Leconte de Floris in an Egyptian Army Uniform,Dahesh Museum of Art,François-Léon Benouville,1840,NA
Q101030663,Cattle by a Lake,Dahesh Museum of Art,Auguste Bonheur,NA,NA
Q101030667,Study of Cattle,Dahesh Museum of Art,Auguste Bonheur,NA,NA
Q101030669,Grazing Sheep in the Pyrenees,Dahesh Museum of Art,Rosa Bonheur,NA,NA
Q101030673,Shepherdess and Two Cows in a Meadow,Dahesh Museum of Art,Rosa Bonheur,1843,NA
Q101030674,Before the Engagement,Dahesh Museum of Art,Elizabeth Jane Gardner,NA,NA
Q101030675,By the Sea,Dahesh Museum of Art,William-Adolphe Bouguereau,1903,NA
Q101030677,Getting Up,Dahesh Museum of Art,William-Adolphe Bouguereau,1865,NA
Q101030679,Charity,Dahesh Museum of Art,William-Adolphe Bouguereau,1872,NA
Q101030681,The Water Girl,Dahesh Museum of Art,William-Adolphe Bouguereau,1885,NA
Q101030686,The Tea Break,Dahesh Museum of Art,Jules Breton,1885,NA
Q101030689,The Death of Moses,Dahesh Museum of Art,Alexandre Cabanel,1851,NA
Q101030697,The Sculptor’s Studio,Dahesh Museum of Art,Louis-Robert Carrier-Belleuse,1870,NA
Q101030699,Women of the Harem at the Poolside,Dahesh Museum of Art,Alfred Chataud,NA,NA
Q101030703,Battle of Arabs,Dahesh Museum of Art,Georges Clairin,NA,NA
Q101030704,"In Egypt, the Prosperous Town, Peace",Dahesh Museum of Art,Georges Clairin,1913,NA
Q101030706,Chicken and Birds,Dahesh Museum of Art,Philibert Leon Couturier,NA,NA
Q101030708,Hamlet and the Gravediggers,Dahesh Museum of Art,Pascal Dagnan-Bouveret,1883,NA
Q101030714,Lamentation,Dahesh Museum of Art,Paul Delaroche,1820,NA
Q101030717,"Still Life with Fruit, Glass of Wine",Dahesh Museum of Art,Blaise Alexandre Desgoffe,1863,NA
Q101030719,"Cairo: Haze, Dust and Evening Smoke",Dahesh Museum of Art,Nasreddine Dinet,NA,NA
Q101030722,Young Girl with a Veil,Dahesh Museum of Art,Nasreddine Dinet,1901,NA
Q101030726,The Black Eagle of Prussia,Dahesh Museum of Art,Gustave Doré,1871,NA
Q101030731,Green Vase with White and Red Carnations,Dahesh Museum of Art,Robert Louis Raymond Duflos,NA,NA
Q101030736,Marshal Ney at Waterloo,Dahesh Museum of Art,Henri Louis Dupray,1869,NA
Q101030740,Oedipus and the Sphinx,Dahesh Museum of Art,François-Xavier Fabre,1808,"Oedipus, sphinx"
Q101030744,Andromeda,Dahesh Museum of Art,Henri Fantin-Latour,1902,NA
Q101030747,Scene from Oberon,Dahesh Museum of Art,Henri Fantin-Latour,1869,NA
Q101030752,Along the Nile at Giza,Dahesh Museum of Art,Théodore Frère,NA,NA
Q101030754,An Arab Market Outside Cairo,Dahesh Museum of Art,Théodore Frère,NA,NA
Q101030758,Café in Cairo,Dahesh Museum of Art,Théodore Frère,NA,NA
Q101030761,"Philae Temple, Nile River, Egypt",Dahesh Museum of Art,Théodore Frère,NA,NA
Q101030764,"The Banks of the Nile, Cairo",Dahesh Museum of Art,Théodore Frère,NA,NA
Q101030766,Pandora's Box,Dahesh Museum of Art,Paul Césaire Gariot,1877,NA
Q101030768,The Nymphs at the Tomb of Adonis,Dahesh Museum of Art,Auguste Gendron,1864,NA
Q101030774,Michelangelo being Shown the Belvedere Torso,Dahesh Museum of Art,Jean-Léon Gérôme,1849,NA
Q101030778,Rachel,Dahesh Museum of Art,Jean-Léon Gérôme,1859,NA
Q101030780,Arab Coffee House in El Kantara,Dahesh Museum of Art,Eugène Girardet,1886,NA
Q101030782,Reed Sellers on the Nile,Dahesh Museum of Art,Eugène Girardet,1897,NA
Q101030787,Algerian Men Resting,Dahesh Museum of Art,Hippolyte Lazerges,1882,NA
Q101030792,A Woman Performing a Ritual with Snakes,Dahesh Museum of Art,Jean-Jules-Antoine Lecomte du Nouÿ,NA,NA
Q101030795,"At the Tomb of the Virgin, Jerusalem",Dahesh Museum of Art,Jean-Jules-Antoine Lecomte du Nouÿ,1871,NA
Q101030797,Judith,Dahesh Museum of Art,Jean-Jules-Antoine Lecomte du Nouÿ,1875,NA
Q101030799,"Night Scene in Kaphra, near Giza, Egypt",Dahesh Museum of Art,Jean-Jules-Antoine Lecomte du Nouÿ,1865,NA
Q101030804,Manon Lescaut,Dahesh Museum of Art,Maurice Leloir,1892,NA
Q101030805,Sarah Bernhardt Conversing with William Gladstone at Her London Exhibition of 1879,Dahesh Museum of Art,René Lelong,NA,NA
Q101030809,Day Dreams,Dahesh Museum of Art,Charles-Amable Lenoir,NA,NA
Q101030811,Harvester Drinking from a Flask,Dahesh Museum of Art,Léon Augustin Lhermitte,1905,NA
Q101030816,Merovingians Attacking a Wild Dog,Dahesh Museum of Art,Évariste Vital Luminais,1875,NA
Q101030817,The Bath of Diana,Dahesh Museum of Art,Émile-René Ménard,1920,NA
Q101030819,Diana,Dahesh Museum of Art,Luc-Olivier Merson,1878,NA
Q101030822,Joseph's Coat Brought Back to Jacob,Dahesh Museum of Art,Jules Ambroise François Naudin,1841,NA
